model	subword_pooling	layer_pooling	dev_acc	dev_f1	test_acc	test_f1
XLM-MLM-100	first	2	0.9917420715101468	0.8736027515047291	0.9834523917171536	0.7776510832383124
XLM-MLM-100	first	2	0.9917420715101468	0.8613013698630136	0.9829098471832896	0.768939393939394
XLM-MLM-100	first	2	0.992269173328648	0.8829141370338248	0.9831359074057328	0.7629489603024574
XLM-MLM-100	first	3	0.9935869278749012	0.9009640666082384	0.9861651143864726	0.8250388802488334
XLM-MLM-100	first	3	0.9947289818149871	0.9191564147627416	0.9885161406998824	0.8367029548989113
XLM-MLM-100	first	3	0.9948168321180708	0.9280701754385966	0.9887422009223256	0.83793237465993
XLM-MLM-100	first	4	0.995343933936572	0.9383802816901408	0.9896916538565874	0.843420538852011
XLM-MLM-100	first	4	0.9956953351489064	0.9472759226713532	0.9905958947463605	0.8650355169692187
XLM-MLM-100	first	4	0.9956074848458228	0.9411764705882352	0.9905054706573831	0.8600628930817611
XLM-MLM-100	first	5	0.9951682333304048	0.9464442493415276	0.9906411067908492	0.8754448398576512
XLM-MLM-100	first	5	0.9948168321180708	0.9281961471103326	0.9903246224794284	0.8553508428067426
XLM-MLM-100	first	5	0.9948168321180708	0.9232111692844678	0.9906411067908492	0.8592708741669934
XLM-MLM-100	first	6	0.9947289818149871	0.9360210341805432	0.9907767429243152	0.875
XLM-MLM-100	first	6	0.9952560836334884	0.9403508771929824	0.9903698345239172	0.863546991742037
XLM-MLM-100	first	6	0.995343933936572	0.93717277486911	0.990912379057781	0.8706252457727095
XLM-MLM-100	first	7	0.9952560836334884	0.9445910290237468	0.9917261958585768	0.8825622775800711
XLM-MLM-100	first	7	0.995343933936572	0.9423076923076924	0.991680983814088	0.8748031496062992
XLM-MLM-100	first	7	0.995343933936572	0.9403508771929824	0.9922687403924404	0.8830963665086888
XLM-MLM-100	first	8	0.9963102872704912	0.95837023914969	0.9932181933267022	0.9055244195356285
XLM-MLM-100	first	8	0.9963981375735746	0.960212201591512	0.9938511619495434	0.9191797346200242
XLM-MLM-100	first	8	0.9959588860581567	0.9437609841827768	0.9933086174156796	0.9033293221018852
XLM-MLM-100	first	9	0.9960467363612404	0.9593639575971732	0.9938059499050548	0.9112
XLM-MLM-100	first	9	0.9964859878766582	0.9592198581560284	0.9939415860385208	0.9178356713426854
