model	subword_pooling	layer_pooling	dev_acc	test_acc
XLM-RoBERTa	last	11	0.9668943772990016	0.9630551301684532
XLM-RoBERTa	last	11	0.964880014012962	0.962959418070444
XLM-RoBERTa	last	12	0.9574356279558592	0.9531967840735068
XLM-RoBERTa	last	12	0.9584866001050972	0.954249617151608
XLM-RoBERTa	last	12	0.9578735330180416	0.9535796324655436
XLM-MLM-100	first	0	0.7987388334209143	0.8023545176110258
XLM-MLM-100	first	0	0.8002277106323349	0.8080972434915773
XLM-MLM-100	first	0	0.7974251182343668	0.8073315467075038
XLM-MLM-100	first	1	0.8115256612366439	0.8189127105666156
XLM-MLM-100	first	1	0.8102119460500964	0.8178598774885145
XLM-MLM-100	first	1	0.8118759852863899	0.8172856049004594
XLM-MLM-100	first	2	0.8655631459099667	0.8678215926493109
XLM-MLM-100	first	2	0.8662637940094587	0.8675344563552833
XLM-MLM-100	first	2	0.8647749167980382	0.8620788667687596
XLM-MLM-100	first	3	0.9034857242949728	0.8978751914241959
XLM-MLM-100	first	3	0.9007707129094412	0.8995980091883614
XLM-MLM-100	first	3	0.9038360483447188	0.8967266462480857
XLM-MLM-100	first	4	0.9206516027325276	0.9135719754977027
XLM-MLM-100	first	4	0.9196006305832896	0.9158690658499234
XLM-MLM-100	first	4	0.91933788754598	0.911083460949464
XLM-MLM-100	first	5	0.9231038710807496	0.9134762633996936
XLM-MLM-100	first	5	0.9220528989315117	0.9174004594180704
XLM-MLM-100	first	5	0.9205640217200912	0.9161562021439508
XLM-MLM-100	first	6	0.929584866001051	0.9239088820826952
XLM-MLM-100	first	6	0.928533893851813	0.9237174578866768
XLM-MLM-100	first	6	0.9265195305657732	0.9224732006125574
XLM-MLM-100	first	7	0.9413207216675424	0.9360643185298622
XLM-MLM-100	first	7	0.9321247153617096	0.9305130168453292
XLM-MLM-100	first	7	0.940532492555614	0.9366385911179173
XLM-MLM-100	first	8	0.952706253284288	0.946209800918836
XLM-MLM-100	first	8	0.9531441583464704	0.9447741194486984
